keyword,segment,buyer_type,intent,volume,kd_percent,cpc_usd,opportunity_score,priority,cluster,status
personal trainer wanted london,Personal Training,Job Seeker,Commercial,590,14,0.76,507,Not a buyer,PT Jobs,not_started
personal trainer vacancies,Personal Training,Job Seeker,Commercial,480,15,1.63,408,Not a buyer,PT Jobs,not_started
fitness careers london,Personal Training,Job Seeker,Commercial,390,14,0.48,335,Not a buyer,PT Jobs,not_started
fitness first careers,Personal Training,Job Seeker,Commercial,320,15,1.84,272,Not a buyer,PT Jobs,not_started
job instructor fitness,Personal Training,Job Seeker,Commercial,320,15,0.76,272,Not a buyer,PT Jobs,not_started
fitness work london,Personal Training,Job Seeker,Commercial,320,15,0.73,272,Not a buyer,PT Jobs,not_started
fitness personal training jobs,Personal Training,Job Seeker,Commercial,320,13,1.57,278,Not a buyer,PT Jobs,not_started
pt jobs,Personal Training,Job Seeker,Commercial,260,10,1.57,234,Not a buyer,PT Jobs,not_started
gym apprenticeships,Personal Training,Job Seeker,Commercial,260,10,1.87,234,Not a buyer,PT Jobs,not_started
fitness instructor jobs london,Personal Training,Job Seeker,Commercial,260,13,0.8,226,Not a buyer,PT Jobs,not_started
fitness instructor apprenticeship,Personal Training,Job Seeker,Commercial,260,12,3.26,229,Not a buyer,PT Jobs,not_started
personal training jobs london,Personal Training,Job Seeker,Commercial,210,10,0.65,189,Not a buyer,PT Jobs,not_started
gym instructor jobs near me,Personal Training,Job Seeker,Commercial,210,15,0.77,179,Not a buyer,PT Jobs,not_started
gym instructor jobs london,Personal Training,Job Seeker,Commercial,210,14,0.94,181,Not a buyer,PT Jobs,not_started
jobs trainer,Personal Training,Job Seeker,Commercial,210,15,0.16,179,Not a buyer,PT Jobs,not_started
personal training apprenticeship,Personal Training,Job Seeker,Commercial,210,12,2.98,185,Not a buyer,PT Jobs,not_started
fitness apprenticeship,Personal Training,Job Seeker,Commercial,170,10,2.13,153,Not a buyer,PT Jobs,not_started
fitness trainer jobs,Personal Training,Job Seeker,Commercial,170,14,1.32,146,Not a buyer,PT Jobs,not_started
gym coach jobs,Personal Training,Job Seeker,Commercial,170,14,0.98,146,Not a buyer,PT Jobs,not_started
fitness instructor job,Personal Training,Job Seeker,Commercial,170,15,0.76,145,Not a buyer,PT Jobs,not_started
trainer jobs near me,Personal Training,Job Seeker,Commercial,170,13,0.21,148,Not a buyer,PT Jobs,not_started
personal training jobs london uk,Personal Training,Job Seeker,Commercial,170,13,0.65,148,Not a buyer,PT Jobs,not_started
job gym part time,Personal Training,Job Seeker,Commercial,170,14,0.93,146,Not a buyer,PT Jobs,not_started
jobs in gyms,Personal Training,Job Seeker,Commercial,170,14,1.54,146,Not a buyer,PT Jobs,not_started
online fitness jobs,Personal Training,Job Seeker,Commercial,140,15,1.46,119,Not a buyer,PT Jobs,not_started
fitness jobs manchester,Personal Training,Job Seeker,Commercial,140,12,0.53,123,Not a buyer,PT Jobs,not_started
personal trainer job london,Personal Training,Job Seeker,Commercial,140,14,0.94,120,Not a buyer,PT Jobs,not_started
fitness class instructor,Personal Training,Job Seeker,Informational,110,12,2.75,97,Not a buyer,Classes,not_started
remote fitness jobs,Personal Training,Job Seeker,Commercial,110,14,0.28,95,Not a buyer,PT Jobs,not_started
trainer employment opportunities,Personal Training,Job Seeker,Commercial,110,14,0.14,95,Not a buyer,PT Jobs,not_started
jobs in health & fitness,Personal Training,Job Seeker,Commercial,110,13,1.05,96,Not a buyer,PT Jobs,not_started
fitness manager jobs near me,Personal Training,Job Seeker,Commercial,110,11,0.15,98,Not a buyer,PT Jobs,not_started
gym instructor vacancies,Personal Training,Job Seeker,Commercial,90,14,1.06,77,Not a buyer,PT Jobs,not_started
online personal training jobs,Personal Training,Job Seeker,Commercial,90,13,1.64,78,Not a buyer,PT Jobs,not_started
fitness tutor jobs,Personal Training,Job Seeker,Commercial,90,11,1.09,80,Not a buyer,PT Jobs,not_started
part time fitness jobs,Personal Training,Job Seeker,Commercial,90,11,0.5,80,Not a buyer,PT Jobs,not_started
fitness marketing careers,Personal Training,Job Seeker,Commercial,90,12,0.31,79,Not a buyer,PT Jobs,not_started
pt job,Personal Training,Job Seeker,Info/Commercial,90,11,1.57,80,Not a buyer,PT Jobs,not_started
hyrox logo,Hyrox,Other,Navigational,880,22,0,686,Not a buyer,Brand/Nav,not_started
hyrox volunteer,Hyrox,Other,Informational,480,14,0,413,Not a buyer,Community,not_started
hyrox volunteer uk,Hyrox,Other,Informational,170,9,0,155,Not a buyer,Community,not_started
hyrox volunteers,Hyrox,Other,Informational,110,12,0,97,Not a buyer,Community,not_started
hyrox partner,Hyrox,Partner,Informational,140,28,0,101,Not a buyer,Coaching & Gyms,not_started
hyrox affiliate,Hyrox,Partner,Informational,110,16,0,92,Not a buyer,Coaching & Gyms,not_started
