id,section,cluster,wave,title,slug,primary_keyword,volume,kd,intent,evidence,angle_rationale,format,word_count,cta_primary,cta_secondary,hub_link,image_source,image_concept,og_treatment,meta_title,meta_description,schema,status,notes
H011,hyrox,Fundamentals & FAQ,2,What does HYROX consist of? Every element of the race,what-does-hyrox-consist-of-every-element-of-the-race,what does hyrox consist of,210,38,Informational,semrush,Component checklist format for the 210/mo phrasing; snippet bait,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,data-graphic,stations + runs visual checklist,"headline stat rendered as branded card, 1200x630",What does HYROX consist of? Every element of the race | Suth Performance,Component checklist format for the 210/mo phrasing. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H012,hyrox,Fundamentals & FAQ,2,The RoxZone explained: what it is and how not to lose minutes in it,roxzone-explained-what-it-is-and-how-not-to-lose-minutes-in-it,roxzone,,,Informational,longtail-unevidenced,Glossary+strategy hybrid; almost nobody covers transition time loss with data,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"athlete jogging through transition zone carrying grip, motion blur","photo + title band, brand dark/chartreuse, 1200x630",The RoxZone explained: what it is and how not to lose minutes in it | Suth Performance,Glossary+strategy hybrid. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H013,hyrox,Fundamentals & FAQ,2,HYROX scoring and rankings: how your time and placing work,hyrox-scoring-and-rankings-how-your-time-and-placing-work,hyrox ranking,40,,Informational,semrush,"Explains timing, age-group placement, world ranking; links to results pages",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,data-graphic,sample results table annotated,"headline stat rendered as branded card, 1200x630",HYROX scoring and rankings: how your time and placing work | Suth Performance,"Explains timing, age-group placement, world ranking. From the Elite 15 HYROX coaching team at Suth Performance.",Article + BreadcrumbList (+HowTo where stepped),planned,
H014,hyrox,Fundamentals & FAQ,2,HYROX penalties: every way to get time added and how to avoid them,hyrox-penalties-every-way-to-get-time-added-and-how-to-avoid-them,hyrox penalties,,,Informational,longtail-unevidenced,Long-tail; judges' standards per station in one table; shareable in club chats,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,judge holding no-rep signal beside sled lane,"photo + title band, brand dark/chartreuse, 1200x630",HYROX penalties: every way to get time added and how to avoid them | Suth Performance,Long-tail. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H015,hyrox,Fundamentals & FAQ,2,What to expect at your first HYROX: an honest hour-by-hour guide,what-to-expect-at-your-first-hyrox-an-honest-hour-by-hour-guide,first hyrox,,,Informational,longtail-unevidenced,Warm reassurance + logistics; the emotional on-ramp post; heavy quiz CTA,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,track/pair-close-frontal-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630",What to expect at your first HYROX: an honest hour-by-hour guide | Suth Performance,Warm reassurance + logistics. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H016,hyrox,Fundamentals & FAQ,2,How long does a HYROX take? Full duration guide by division,how-long-does-a-hyrox-take-full-duration-guide-by-division,how long does hyrox take,,,Informational,longtail-unevidenced,Question query answered with honest ranges by division and level,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,data-graphic,finish time ranges by division,"headline stat rendered as branded card, 1200x630",How long does a HYROX take? Full duration guide by division | Suth Performance,Question query answered with honest ranges by division and level. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H017,hyrox,Fundamentals & FAQ,2,HYROX World Championship qualification: how it actually works,hyrox-world-championship-qualification-how-it-actually-works,hyrox world championship,390,53,Informational,semrush,"Season structure, majors, slots; updated annually; authority signal",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"packed arena race floor from spectator stand, dramatic light","photo + title band, brand dark/chartreuse, 1200x630",HYROX World Championship qualification: how it actually works | Suth Performance,"Season structure, majors, slots. From the Elite 15 HYROX coaching team at Suth Performance.",Article + BreadcrumbList (+HowTo where stepped),refresh,
H018,hyrox,Fundamentals & FAQ,2,Elite 15 explained: HYROX's professional tier,elite-15-explained-hyroxs-professional-tier,hyrox elite 15,390,29,Info/Transactional,semrush,KD29 with Ben's first-hand authority — the one post only we can write honestly,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,ben/ben-racing-placeholder.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Elite 15 explained: HYROX's professional tier | Suth Performance,KD29 with Ben's first-hand authority — the one post only we can write honestly. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H019,hyrox,Fundamentals & FAQ,3,HYROX weight classes and body types: does size matter?,hyrox-weight-classes-and-body-types-does-size-matter,hyrox weight,260,28,Informational,semrush,Addresses 'am I built for this' anxiety with balanced analysis,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,two different-build athletes side by side at sled lane,"photo + title band, brand dark/chartreuse, 1200x630",HYROX weight classes and body types: does size matter? | Suth Performance,Addresses 'am I built for this' anxiety with balanced analysis. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H020,hyrox,Fundamentals & FAQ,3,Singles vs Doubles: which HYROX should you enter first?,singles-vs-doubles-which-hyrox-should-you-enter-first,hyrox singles vs doubles,,,Informational,longtail-unevidenced,Decision-post; links divisions pillar and doubles cluster,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,track/pair-elevated-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Singles vs Doubles: which HYROX should you enter first? | Suth Performance,Decision-post. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H021,hyrox,Fundamentals & FAQ,3,"HYROX relay explained: format, rules and team strategy",hyrox-relay-explained-format-rules-and-team-strategy,hyrox relay,,,Informational,longtail-unevidenced,Underserved format query; corporate/team angle differentiates,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"four teammates at relay handover, high fives, arena floor","photo + title band, brand dark/chartreuse, 1200x630","HYROX relay explained: format, rules and team strategy | Suth Performance",Underserved format query. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H022,hyrox,Fundamentals & FAQ,3,Is HYROX harder than a marathon? A coach's honest comparison,is-hyrox-harder-than-a-marathon-a-coachs-honest-comparison,is hyrox harder than a marathon,,,Informational,longtail-unevidenced,Comparison bait with genuine physiological analysis; social-share magnet,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,split image runner on road vs athlete under sled,"photo + title band, brand dark/chartreuse, 1200x630",Is HYROX harder than a marathon? A coach's honest comparison | Suth Performance,Comparison bait with genuine physiological analysis. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H023,hyrox,Fundamentals & FAQ,3,Is HYROX hard? Difficulty rated for every fitness level,is-hyrox-hard-difficulty-rated-for-every-fitness-level,is hyrox hard,,,Informational,longtail-unevidenced,Reassurance + calibration; quiz CTA to find starting level,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,track/palms-runners-bw.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Is HYROX hard? Difficulty rated for every fitness level | Suth Performance,Reassurance + calibration. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H024,hyrox,Fundamentals & FAQ,3,Can anyone do HYROX? Fitness requirements honestly assessed,can-anyone-do-hyrox-fitness-requirements-honestly-assessed,can anyone do hyrox,,,Informational,longtail-unevidenced,Beginner objection-handler; strong beginner-plan CTA,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,track/diverse-pool,"photo + title band, brand dark/chartreuse, 1200x630",Can anyone do HYROX? Fitness requirements honestly assessed | Suth Performance,Beginner objection-handler. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H025,hyrox,Fundamentals & FAQ,3,"HYROX for spectators: how to watch, track and support your athlete",hyrox-for-spectators-how-to-watch-track-and-support-your-athlete,hyrox spectators,,,Informational,longtail-unevidenced,"Nobody targets supporter intent; ranks easily, builds brand goodwill",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"spectators leaning over barrier cheering, athlete mid wall balls","photo + title band, brand dark/chartreuse, 1200x630","HYROX for spectators: how to watch, track and support your athlete | Suth Performance",Nobody targets supporter intent. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H026,hyrox,Fundamentals & FAQ,3,"How much does HYROX cost? Entry fees, kit and the real total",how-much-does-hyrox-cost-entry-fees-kit-and-the-real-total,hyrox entry fee,110,34,Info/Transactional,semrush,Transparent cost breakdown incl. tickets/flex; honest budgeting table,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,data-graphic,cost breakdown stacked bar,"headline stat rendered as branded card, 1200x630","How much does HYROX cost? Entry fees, kit and the real total | Suth Performance",Transparent cost breakdown incl. tickets/flex. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H027,hyrox,Fundamentals & FAQ,3,"HYROX tickets explained: registration, waves and the Flex add-on",hyrox-tickets-explained-registration-waves-and-the-flex-add-on,hyrox flex add on,170,10,Informational,semrush,"KD10 long-tail; practical registration walkthrough, updated per season",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"athlete checking phone at gym bench, entry confirmation moment","photo + title band, brand dark/chartreuse, 1200x630","HYROX tickets explained: registration, waves and the Flex add-on | Suth Performance",KD10 long-tail. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H028,hyrox,Fundamentals & FAQ,3,"The HYROX race day timeline: when to arrive, warm up and start",hyrox-race-day-timeline-when-to-arrive-warm-up-and-start,hyrox race day timeline,,,Informational,longtail-unevidenced,Logistics detail post linking to warm-up protocol and kit checklist,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,v2/quiz-interstitial-1.jpg,"photo + title band, brand dark/chartreuse, 1200x630","The HYROX race day timeline: when to arrive, warm up and start | Suth Performance",Logistics detail post linking to warm-up protocol and kit checklist. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H029,hyrox,Fundamentals & FAQ,4,"HYROX World Championships: history, venues and records",hyrox-world-championships-history-venues-and-records,hyrox world championships,390,54,Info/Transactional,semrush,Evergreen championship hub refreshed yearly; catches 4 championship phrasings,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"confetti finish-line arch moment, wide arena","photo + title band, brand dark/chartreuse, 1200x630","HYROX World Championships: history, venues and records | Suth Performance",Evergreen championship hub refreshed yearly. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H030,hyrox,Fundamentals & FAQ,4,The history of HYROX: from 2017 Hamburg to global phenomenon,history-of-hyrox-from-2017-hamburg-to-global-phenomenon,hyrox history,,,Informational,longtail-unevidenced,Authority/entity content; AI-search citation magnet with timeline,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,data-graphic,growth timeline of events per season,"headline stat rendered as branded card, 1200x630",The history of HYROX: from 2017 Hamburg to global phenomenon | Suth Performance,Authority/entity content. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H031,hyrox,Fundamentals & FAQ,4,"HYROX vs Hydrox: the fitness race vs the cookie (yes, really)",hyrox-vs-hydrox-the-fitness-race-vs-the-cookie-yes-really,what is hydrox,590,55,Informational,semrush,590/mo misspell disambiguation done with charm; wins the confused searcher,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"athlete laughing mid chalk-up, candid","photo + title band, brand dark/chartreuse, 1200x630","HYROX vs Hydrox: the fitness race vs the cookie (yes, really) | Suth Performance",590/mo misspell disambiguation done with charm. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H032,hyrox,Fundamentals & FAQ,4,What is a HYROX PFT? The physical fitness test explained,what-is-a-hyrox-pft-the-physical-fitness-test-explained,hyrox fitness test,110,19,Informational,semrush,KD19; explains the benchmark test + our assessment CTA,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,v2/metrics-fresh.jpg,"photo + title band, brand dark/chartreuse, 1200x630",What is a HYROX PFT? The physical fitness test explained | Suth Performance,KD19. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H033,hyrox,Fundamentals & FAQ,4,HYROX jargon dictionary: every term you'll hear at a race,hyrox-jargon-dictionary-every-term-youll-hear-at-a-race,hyrox terms,,,Informational,longtail-unevidenced,Glossary pillar linking all micro-glossary pages; AI-citation food,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,data-graphic,illustrated A-Z grid,"headline stat rendered as branded card, 1200x630",HYROX jargon dictionary: every term you'll hear at a race | Suth Performance,Glossary pillar linking all micro-glossary pages. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H034,hyrox,Stations,1,HYROX SkiErg: technique that survives race fatigue,hyrox-skierg-technique-that-survives-race-fatigue,hyrox ski erg,,,Informational,longtail-unevidenced,Definitive SkiErg technique guide from an Elite 15 racer; existing post refreshed to new standard,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,own-photo,guides/station-ski-erg.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX SkiErg: technique that survives race fatigue | Suth Performance,Definitive SkiErg technique guide from an Elite 15 racer. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H035,hyrox,Stations,2,SkiErg mistakes: what's costing you 60+ seconds,skierg-mistakes-whats-costing-you-60-seconds,ski erg mistakes,,,Informational,longtail-unevidenced,Mistake-listicle format ranks for 'SkiErg tips' long-tail; video-friendly,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,ai-generate,"athlete mid-ski erg with form fault subtly visible, coaching-eye angle","photo + title band, brand dark/chartreuse, 1200x630",SkiErg mistakes: what's costing you 60+ seconds | Suth Performance,Mistake-listicle format ranks for 'SkiErg tips' long-tail. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H036,hyrox,Stations,2,5 workouts that build a faster HYROX SkiErg,5-workouts-that-build-a-faster-hyrox-skierg,ski erg workout,,,Informational,longtail-unevidenced,Workout-card format; save/share magnet; links to plans,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,ai-generate,whiteboard with session plan beside ski erg setup,"photo + title band, brand dark/chartreuse, 1200x630",5 workouts that build a faster HYROX SkiErg | Suth Performance,Workout-card format. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H037,hyrox,Stations,3,How to get faster at the HYROX SkiErg: a 6-week progression,how-to-get-faster-at-the-hyrox-skierg-a-6-week-progression,faster ski erg hyrox,,,Informational,longtail-unevidenced,Progression framework with measurable weekly targets,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,own-photo,station-pool:SkiErg,"photo + title band, brand dark/chartreuse, 1200x630",How to get faster at the HYROX SkiErg: a 6-week progression | Suth Performance,Progression framework with measurable weekly targets. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H038,hyrox,Stations,3,No SkiErg? Substitutions that build the same engine,no-skierg-substitutions-that-build-the-same-engine,ski erg substitute,,,Informational,longtail-unevidenced,Equipment-gap solver; unique service content; geo-page synergy,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,ai-generate,home garage gym improvised ski erg alternative,"photo + title band, brand dark/chartreuse, 1200x630",No SkiErg? Substitutions that build the same engine | Suth Performance,Equipment-gap solver. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H039,hyrox,Stations,4,HYROX SkiErg times: what good looks like by division,hyrox-skierg-times-what-good-looks-like-by-division,ski erg average time,,,Informational,longtail-unevidenced,Station split benchmarks — needs results data; queued behind open question 1,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,data-graphic,station split distribution,"headline stat rendered as branded card, 1200x630",HYROX SkiErg times: what good looks like by division | Suth Performance,Station split benchmarks — needs results data. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),blocked-results,
H040,hyrox,Stations,1,HYROX Sled Push: technique that survives race fatigue,hyrox-sled-push-technique-that-survives-race-fatigue,hyrox sled push weight,1900,25,Informational,semrush,Definitive Sled Push technique guide from an Elite 15 racer; existing post refreshed to new standard,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,own-photo,guides/station-sled-push.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX Sled Push: technique that survives race fatigue | Suth Performance,Definitive Sled Push technique guide from an Elite 15 racer. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H041,hyrox,Stations,2,Sled Push mistakes: what's costing you 60+ seconds,sled-push-mistakes-whats-costing-you-60-seconds,sled push mistakes,,,Informational,longtail-unevidenced,Mistake-listicle format ranks for 'Sled Push tips' long-tail; video-friendly,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,ai-generate,"athlete mid-sled push with form fault subtly visible, coaching-eye angle","photo + title band, brand dark/chartreuse, 1200x630",Sled Push mistakes: what's costing you 60+ seconds | Suth Performance,Mistake-listicle format ranks for 'Sled Push tips' long-tail. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H042,hyrox,Stations,2,5 workouts that build a faster HYROX Sled Push,5-workouts-that-build-a-faster-hyrox-sled-push,sled push workout,,,Informational,longtail-unevidenced,Workout-card format; save/share magnet; links to plans,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,ai-generate,whiteboard with session plan beside sled push setup,"photo + title band, brand dark/chartreuse, 1200x630",5 workouts that build a faster HYROX Sled Push | Suth Performance,Workout-card format. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H043,hyrox,Stations,3,How to get faster at the HYROX Sled Push: a 6-week progression,how-to-get-faster-at-the-hyrox-sled-push-a-6-week-progression,faster sled push hyrox,,,Informational,longtail-unevidenced,Progression framework with measurable weekly targets,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,own-photo,station-pool:Sled Push,"photo + title band, brand dark/chartreuse, 1200x630",How to get faster at the HYROX Sled Push: a 6-week progression | Suth Performance,Progression framework with measurable weekly targets. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H044,hyrox,Stations,3,No Sled Push? Substitutions that build the same engine,no-sled-push-substitutions-that-build-the-same-engine,sled push substitute,,,Informational,longtail-unevidenced,Equipment-gap solver; unique service content; geo-page synergy,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,ai-generate,home garage gym improvised sled push alternative,"photo + title band, brand dark/chartreuse, 1200x630",No Sled Push? Substitutions that build the same engine | Suth Performance,Equipment-gap solver. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H045,hyrox,Stations,4,HYROX Sled Push times: what good looks like by division,hyrox-sled-push-times-what-good-looks-like-by-division,sled push average time,,,Informational,longtail-unevidenced,Station split benchmarks — needs results data; queued behind open question 1,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/stations,data-graphic,station split distribution,"headline stat rendered as branded card, 1200x630",HYROX Sled Push times: what good looks like by division | Suth Performance,Station split benchmarks — needs results data. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),blocked-results,
